Name,3rd Grade Math
Description,"Early math practice in 14 areas: intro to multiplication; 1-digit multiplication; addition, subtraction, and estimation; intro to division, understand fractions, equivalent fractions and comparing fractions, more with multiplication and division, arithmetic patterns and problem solving, quadrilaterals, area, perimeter, time, measurement; represent and interpret data."
Publisher,Khan Academy
Grade Level,3rd Grade
Link,https://www.khanacademy.org/math/cc-third-grade-math

Title,Description,Action,URL
Distributive property when multiplying,,Watch,https://www.khanacademy.org/math/cc-third-grade-math/3rd-basic-multiplication/distributive-property/e/distributive-property-of-multiplication-
Properties and patterns for multiplication,,Watch,https://www.khanacademy.org/math/cc-third-grade-math/3rd-basic-multiplication/distributive-property/v/properties-and-patterns-for-multiplication
Visualize distributive property,,Do,https://www.khanacademy.org/math/cc-third-grade-math/3rd-basic-multiplication/distributive-property/e/distributive-property-of-multiplication-
Distributive property,,Do,https://www.khanacademy.org/math/cc-third-grade-math/3rd-basic-multiplication/distributive-property/e/distributive-property-of-multiplication-
"Unit 2, Quiz 3",,Do,https://www.khanacademy.org/math/cc-third-grade-math/3rd-basic-multiplication/distributive-property/quiz/3rd-basic-multiplication-quiz-3
Multiply by 7,,Do,https://www.khanacademy.org/math/cc-third-grade-math/3rd-basic-multiplication/multiply-by-7-8-or-9/e/multiplying-by-7
Multiply by 8,,Do,https://www.khanacademy.org/math/cc-third-grade-math/3rd-basic-multiplication/multiply-by-7-8-or-9/e/multiplying-by-8
Multiply by 9,,Do,https://www.khanacademy.org/math/cc-third-grade-math/3rd-basic-multiplication/multiply-by-7-8-or-9/e/multiplying-by-9
"Unit 2, Quiz 4",,Do,https://www.khanacademy.org/math/cc-third-grade-math/3rd-basic-multiplication/multiply-by-7-8-or-9/quiz/3rd-basic-multiplication-quiz-4
Basic multiplication,,Do,https://www.khanacademy.org/math/cc-third-grade-math/3rd-basic-multiplication/basic-multiplication/e/multiplication_0.5
1-digit multiplication: FAQ,,Read,https://www.khanacademy.org/math/cc-third-grade-math/3rd-basic-multiplication/basic-multiplication/a/1-digit-multiplication-faq
Unit 2 test,,Do,https://www.khanacademy.org/math/cc-third-grade-math/3rd-basic-multiplication/basic-multiplication/test/3rd-basic-multiplication-unit-test
Rounding to the nearest 10 on the number line,,Watch,https://www.khanacademy.org/math/cc-third-grade-math/imp-addition-and-subtraction/imp-rounding/v/rounding-to-the-nearest-10-number-line
Rounding to the nearest 100 on the number line,,Watch,https://www.khanacademy.org/math/cc-third-grade-math/imp-addition-and-subtraction/imp-rounding/v/rounding-to-the-nearest-100-number-line
Round to nearest 10 or 100 on the number line,,Do,https://www.khanacademy.org/math/cc-third-grade-math/imp-addition-and-subtraction/imp-rounding/e/rounding-to-the-nearest-10-or-100-on-the-number-line
Rounding to nearest 10 and 100,,Watch,https://www.khanacademy.org/math/cc-third-grade-math/imp-addition-and-subtraction/imp-rounding/v/examples-rounding-to-the-nearest-10-and-100
Round to nearest 10 or 100,,Do,https://www.khanacademy.org/math/cc-third-grade-math/imp-addition-and-subtraction/imp-rounding/e/rounding-to-the-nearest-ten-or-hundred
Round to nearest 10 or 100 challenge,,Do,https://www.khanacademy.org/math/cc-third-grade-math/imp-addition-and-subtraction/imp-rounding/e/rounding-challenge
"Unit 3, Quiz 1",,Do,https://www.khanacademy.org/math/cc-third-grade-math/imp-addition-and-subtraction/imp-rounding/quiz/imp-addition-and-subtraction-quiz-1
Estimating when adding multi-digit numbers,,Watch,https://www.khanacademy.org/math/cc-third-grade-math/imp-addition-and-subtraction/estimate-to-add-multi-digit-numbers/v/estimating-adding-large-numbers-by-rounding
Estimate to add multi-digit whole numbers,,Do,https://www.khanacademy.org/math/cc-third-grade-math/imp-addition-and-subtraction/estimate-to-add-multi-digit-numbers/e/estimate-to-add-multi-digit-whole-numbers-
Breaking apart 3-digit addition problems,,Watch,https://www.khanacademy.org/math/cc-third-grade-math/imp-addition-and-subtraction/imp-strategies-for-adding-two-and-three-digit-numbers/v/breaking-apart-three-digit-addition-problems
Break apart 3-digit addition problems,,Do,https://www.khanacademy.org/math/cc-third-grade-math/imp-addition-and-subtraction/imp-strategies-for-adding-two-and-three-digit-numbers/e/break-apart-three-dig-add
Addition using groups of 10 and 100,,Watch,https://www.khanacademy.org/math/cc-third-grade-math/imp-addition-and-subtraction/imp-strategies-for-adding-two-and-three-digit-numbers/v/addition-using-groups-of-10-and-100
Add using groups of 10 and 100,,Do,https://www.khanacademy.org/math/cc-third-grade-math/imp-addition-and-subtraction/imp-strategies-for-adding-two-and-three-digit-numbers/e/making-100-and-1000
Adding and subtracting on number line,,Watch,https://www.khanacademy.org/math/cc-third-grade-math/imp-addition-and-subtraction/imp-strategies-for-adding-two-and-three-digit-numbers/v/exercise-for-numberline-addition-and-subtraction
Add on a number line,,Do,https://www.khanacademy.org/math/cc-third-grade-math/imp-addition-and-subtraction/imp-strategies-for-adding-two-and-three-digit-numbers/e/adding-and-subtracting-within-1000-using-a-number-line
Select strategies for adding within 1000,,Do,https://www.khanacademy.org/math/cc-third-grade-math/imp-addition-and-subtraction/imp-strategies-for-adding-two-and-three-digit-numbers/e/select-strategies-for-adding-within-1000
